"scope","wave","module","feature","item_id","route_or_target","canonical_area","status","severity","owner","due_date","evidence","notes","decision"
"backend_module","A","dashboard","api_contract","BE:dashboard","backend/src/modules/dashboard","api","PASSA","","","","; controller/service/module presentes","Triagem inicial: estrutura backend consistente para onda simples.",""
"backend_module","A","permissions","api_contract","BE:permissions","backend/src/modules/permissions","api","PASSA","","","","; controller/service/module presentes","Triagem inicial: estrutura backend consistente para onda simples.",""
"backend_module","A","registration","api_contract","BE:registration","backend/src/modules/registration","api","PASSA","","","","; controller/service/module presentes","Triagem inicial: estrutura backend consistente para onda simples.",""
"backend_module","A","roles","api_contract","BE:roles","backend/src/modules/roles","api","PASSA","","","","; controller/service/module presentes","Triagem inicial: estrutura backend consistente para onda simples.",""
"backend_module","A","tasks","api_contract","BE:tasks","backend/src/modules/tasks","api","PASSA","","","","; controller/service/module presentes","Triagem inicial: estrutura backend consistente para onda simples.",""
"backend_module","A","tenants","api_contract","BE:tenants","backend/src/modules/tenants","api","PASSA","","","","; controller/service/module presentes","Triagem inicial: estrutura backend consistente para onda simples.",""
"backend_module","A","users","api_contract","BE:users","backend/src/modules/users","api","PASSA","","","","; controller/service/module presentes","Triagem inicial: estrutura backend consistente para onda simples.",""
"backend_module","B","deposit","api_contract","BE:deposit","backend/src/modules/deposit","api","PASSA","","","","backend build 2026-03-27 ok; controller/service/module/dto presentes","Estrutura backend verificada para deposit, pantry, people-segments e programs com build aprovado.",""
"backend_module","B","pantry","api_contract","BE:pantry","backend/src/modules/pantry","api","PASSA","","","","backend build 2026-03-27 ok; controller/service/module/dto presentes","Estrutura backend verificada para deposit, pantry, people-segments e programs com build aprovado.",""
"backend_module","B","people-segments","api_contract","BE:people-segments","backend/src/modules/people-segments","api","PASSA","","","","backend build 2026-03-27 ok; controller/service/module/dto presentes","Estrutura backend verificada para deposit, pantry, people-segments e programs com build aprovado.",""
"backend_module","B","programs","api_contract","BE:programs","backend/src/modules/programs","api","PASSA","","","","backend build 2026-03-27 ok; controller/service/module/dto presentes","Estrutura backend verificada para deposit, pantry, people-segments e programs com build aprovado.",""
"backend_module","C","actions","api_contract","BE:actions","backend/src/modules/actions","api","PASSA","","","","backend/src/modules/actions/actions.service.ts; frontend/backend build 2026-03-27 ok; fluxo ativo usa ActionPeopleGroup e peopleGroupId","Fluxo canonico de actions opera com PeopleGroup/ProjectGroup; compatibilidade com cycle ficou isolada como legado da Onda D.",""
"backend_module","C","people","api_contract","BE:people","backend/src/modules/people","api","PASSA","","","","backend/src/modules/people; controller/service/module/dto presentes; backend build 2026-03-27 ok","Estrutura backend de people auditada com relacoes explicitas e modulo consistente.",""
"backend_module","C","people-groups","api_contract","BE:people-groups","backend/src/modules/people-groups","api","PASSA","","","","backend/src/modules/people-groups; controller/service/module/dto presentes; backend build 2026-03-27 ok","Dominio backend de people-groups consistente com agrupamento institucional ativo.",""
"backend_module","C","projects","api_contract","BE:projects","backend/src/modules/projects","api","PASSA","","","","backend/src/modules/projects; controller/service/module/dto presentes; backend build 2026-03-27 ok","Modulo backend de projects auditado; relacoes centrais do agregado permanecem explicitas.",""
